"message","status_code","function_name","timestamp","user","exception"
"Invalid tweet data for tweet 1983310368224227621",500,"read_from_cache","2025-10-30T23:22:16.052904Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'From a $90M to ...us/1983208580976124129'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1982913539682775183",500,"read_from_cache","2025-10-30T23:22:16.052970Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...3d.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983609080058147142",500,"read_from_cache","2025-10-30T23:22:16.053076Z","nakul","2 validation errors for ScrapedTweet
scraped_from
  Field required [type=missing, input_value={'id': '19836090800581471...ck, work in progress!""]}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...zI.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983618150366429258",500,"read_from_cache","2025-10-30T23:22:16.053181Z","nakul","2 validation errors for ScrapedTweet
scraped_from
  Field required [type=missing, input_value={'id': '19836181503664292...y fixed that part now']}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': ""We've officiall...us/1983572700544020900'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983541902646653150",500,"read_from_cache","2025-10-30T23:22:16.053273Z","nakul","2 validation errors for ScrapedTweet
scraped_from
  Field required [type=missing, input_value={'id': '19835419026466531...tps://t.co/pRNMuv5h2M']}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Oz.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983524820173410485",500,"read_from_cache","2025-10-30T23:22:16.053341Z","nakul","1 validation error for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Dg.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983564538781082084",500,"read_from_cache","2025-10-30T23:22:16.053390Z","nakul","3 validation errors for ScrapedTweet
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...9N.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
media.1
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...Ao.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
media.2
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...X_.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983585407368609909",500,"read_from_cache","2025-10-30T23:22:16.053457Z","nakul","2 validation errors for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': 'Composer is fas...us/1983574711012344199'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...kI.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983620500321599976",500,"read_from_cache","2025-10-30T23:22:16.053532Z","nakul","2 validation errors for ScrapedTweet
scraped_from
  Field required [type=missing, input_value={'id': '19836205003215999...ng knowledge workers.']}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
media.0
  Input should be a valid string [type=string_type, input_value={'type': 'photo', 'url': ...c9.jpg', 'alt_text': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
"Invalid tweet data for tweet 1983408161043448295",500,"read_from_cache","2025-10-30T23:22:16.053610Z","nakul","1 validation error for ScrapedTweet
quoted_tweet
  Input should be a valid string [type=string_type, input_value={'text': ""Bill Gates has ...us/1983236928284868977'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
